N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
228,CIPLA,EQ,05-Dec-19,470,469.5,470.3,460.4,462.4,461.6,463.89,1483537,688191365.7,25332,802399,54.09
229,CIPLA,EQ,06-Dec-19,461.6,463,467,454,455.5,455.45,461.67,2520045,1163419054,35180,1602559,63.59
230,CIPLA,EQ,09-Dec-19,455.45,457.4,457.75,444.6,449.5,447.9,450.02,3761784,1692881319,35815,1678267,44.61
231,CIPLA,EQ,10-Dec-19,447.9,450.6,454.95,449.5,452.8,453.05,452.94,2807906,1271817712,40146,1186800,42.27
232,CIPLA,EQ,11-Dec-19,453.05,453,453.1,446.7,449.95,449.95,449.53,1806996,812298140.4,47502,657628,36.39
233,CIPLA,EQ,12-Dec-19,449.95,452.2,463.1,452.2,460,461.05,459.44,2730092,1254302303,58643,691400,25.33
234,CIPLA,EQ,13-Dec-19,461.05,461.05,465,456.6,460.65,461.25,460.85,1213599,559287927.8,21613,325448,26.82
235,CIPLA,EQ,16-Dec-19,461.25,463.05,464.75,457.5,458,458.25,461.17,903737,416778395.6,23326,251013,27.78
236,CIPLA,EQ,17-Dec-19,458.25,462.05,466.2,460.35,463.5,463.95,463.16,2434853,1127718661,61124,770470,31.64
237,CIPLA,EQ,18-Dec-19,463.95,464,469.25,461.5,467.65,467.8,466.26,1705929,795401298.3,32427,706747,41.43
238,CIPLA,EQ,19-Dec-19,467.8,465.65,471.5,464.8,467.35,467.6,468.12,1485123,695213767.8,36482,371966,25.05
239,CIPLA,EQ,20-Dec-19,467.6,466.9,474.45,463.9,467.8,465.75,468.86,2248997,1054460477,38431,792072,35.22
240,CIPLA,EQ,23-Dec-19,465.75,467,469,464.5,467.2,467.85,466.41,866023,403925240.4,22296,276761,31.96
241,CIPLA,EQ,24-Dec-19,467.85,467.25,480,465.5,477.2,478.7,474.07,3262749,1546777415,44260,503000,15.42
242,CIPLA,EQ,26-Dec-19,478.7,478.7,482.55,472.25,473.45,474.15,477.8,2887784,1379790700,46530,310200,10.74
243,CIPLA,EQ,27-Dec-19,474.15,474.55,483.5,472.8,482.3,481.1,480.51,2005404,963610254.2,31766,478019,23.84
244,CIPLA,EQ,30-Dec-19,481.1,481.1,487,478.25,480,479.95,482.45,1809828,873147826.5,27490,399796,22.09
245,CIPLA,EQ,31-Dec-19,479.95,479.95,484.3,476.95,477.9,478.2,480.7,1640854,788764029.4,36181,469808,28.63
246,CIPLA,EQ,01-Jan-20,478.2,481,481,474.45,476.4,475.9,477.26,1316812,628456121.8,18642,392838,29.83
0,CIPLA,EQ,02-Jan-20,475.9,478.85,479.9,472.3,472.95,473.5,475.63,1406381,668921740.6,23644,508693,36.17
1,CIPLA,EQ,03-Jan-20,473.5,475.8,475.8,467.25,470.65,469.95,471.24,2252752,1061592461,44368,524988,23.3
2,CIPLA,EQ,06-Jan-20,469.95,469.8,469.95,461.2,464,466.75,465.72,1501855,699442317.2,34773,434232,28.91
3,CIPLA,EQ,07-Jan-20,466.75,466,470,463.65,468.35,468.6,466.44,2365554,1103398182,32146,1147376,48.5
4,CIPLA,EQ,08-Jan-20,468.6,467.8,470.1,461.6,463.6,464.75,465.83,1507276,702136832.6,22866,657806,43.64
5,CIPLA,EQ,09-Jan-20,464.75,467.5,473.3,467.5,469.85,470.1,470.64,1700600,800366607,28983,691074,40.64
6,CIPLA,EQ,10-Jan-20,470.1,470.1,477,469.75,472.95,473.5,474.55,1213600,575911564.7,21827,241162,19.87
7,CIPLA,EQ,13-Jan-20,473.5,474.5,482.45,474.5,477.5,477.65,478.12,1229969,588066735.3,16312,217423,17.68
8,CIPLA,EQ,14-Jan-20,477.65,480.6,485.2,479.2,485.2,484.25,482.72,2160301,1042824247,71746,900469,41.68
9,CIPLA,EQ,15-Jan-20,484.25,484,486.85,479.55,484,484,482.78,1413668,682489251.3,28871,742719,52.54
