N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
115,CADILAHC,EQ,21-Jun-19,242.55,242.85,242.85,234.35,235,235.05,235.66,2472209,582589461.3,48784,1295450,52.4
116,CADILAHC,EQ,24-Jun-19,235.05,235.7,236.75,224.55,225.4,229.05,232.5,2063844,479846759.2,27637,1149695,55.71
117,CADILAHC,EQ,25-Jun-19,229.05,226,232.8,223.15,231,230.4,228.83,2327066,532505193.7,36611,878663,37.76
118,CADILAHC,EQ,26-Jun-19,230.4,230,240,228.4,238.25,238.9,236.73,2899131,686321718.6,37083,1013272,34.95
119,CADILAHC,EQ,27-Jun-19,238.9,237.2,243.45,236.65,239.45,237.85,240.4,1639885,394221024.4,17878,547402,33.38
120,CADILAHC,EQ,28-Jun-19,237.85,239,242.9,237.85,240.8,241.7,241.08,945274,227883147.4,10402,226531,23.96
121,CADILAHC,EQ,01-Jul-19,241.7,240,246.25,239.05,240.5,240.35,242,1465009,354538714.5,13413,343784,23.47
122,CADILAHC,EQ,02-Jul-19,240.35,240.1,241.9,235.1,235.3,235.9,236.8,678953,160774989.1,15225,188465,27.76
123,CADILAHC,EQ,03-Jul-19,235.9,235.9,238.2,232.3,237,237.1,235.38,1163795,273934387,14411,362096,31.11
124,CADILAHC,EQ,04-Jul-19,237.1,237.7,238.6,235.25,236.2,236.75,236.78,450557,106681404.6,6602,101613,22.55
125,CADILAHC,EQ,05-Jul-19,236.75,237.8,237.8,226.85,230,228.7,230.75,1441720,332679703.1,9816,728876,50.56
126,CADILAHC,EQ,08-Jul-19,228.7,228.6,230.1,223.45,224.45,224.65,226.22,938900,212398819.4,14099,257754,27.45
127,CADILAHC,EQ,09-Jul-19,224.65,222.65,231.5,222.55,230.95,230.75,228.1,1215726,277309833.3,16158,337454,27.76
128,CADILAHC,EQ,10-Jul-19,230.75,230.9,232.95,227.25,227.65,228.3,230.53,811882,187163553,12122,171962,21.18
129,CADILAHC,EQ,11-Jul-19,228.3,229,236.5,229,233.85,234.35,233.81,1201526,280930314.7,17216,268975,22.39
130,CADILAHC,EQ,12-Jul-19,234.35,235,239.2,232.5,236,236.2,236.43,1241440,293517833.6,16465,339255,27.33
131,CADILAHC,EQ,15-Jul-19,236.2,236.15,238.9,230.7,237.6,238.3,235.74,1312592,309425644.3,12198,362392,27.61
132,CADILAHC,EQ,16-Jul-19,238.3,239,247.4,238.5,245,245.1,243.01,2930797,712200215.1,30268,873731,29.81
133,CADILAHC,EQ,17-Jul-19,245.1,246.05,246.95,238.75,240.9,240.85,242.51,2019218,489674567.3,16758,722266,35.77
134,CADILAHC,EQ,18-Jul-19,240.85,241.35,242.75,229,231.6,231.15,235.95,1239743,292522706.3,17997,446394,36.01
135,CADILAHC,EQ,19-Jul-19,231.15,234.7,235.55,227.3,228,228.4,231.17,1479637,342051055.5,21180,233888,15.81
136,CADILAHC,EQ,22-Jul-19,228.4,228.25,236.65,225.8,236.25,235.9,233.85,1707160,399223885.5,16499,546993,32.04
137,CADILAHC,EQ,23-Jul-19,235.9,236.1,237.65,233.1,236,235.75,235.37,932730,219535378.5,11889,319450,34.25
