N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
117,DRREDDY,EQ,22-Jun-18,2316.4,2325,2347.5,2274.05,2336,2336.25,2311.06,1667277,3853171799,69277,523425,31.39
118,DRREDDY,EQ,25-Jun-18,2336.25,2305,2326.8,2281,2292.8,2290.15,2300.74,1142767,2629207654,66013,215619,18.87
119,DRREDDY,EQ,26-Jun-18,2290.15,2284,2285,2257.4,2261,2267.15,2272.55,628148,1427496738,36328,167215,26.62
120,DRREDDY,EQ,27-Jun-18,2267.15,2257.9,2306.8,2245.9,2288.3,2293.8,2278.46,1552070,3536322196,61856,688916,44.39
121,DRREDDY,EQ,28-Jun-18,2293.8,2289,2325.95,2272.2,2283.25,2295.75,2301.68,1228463,2827524053,48858,320987,26.13
122,DRREDDY,EQ,29-Jun-18,2295.75,2279.95,2284,2223,2233,2235.05,2251.14,898423,2022477414,44029,215930,24.03
123,DRREDDY,EQ,02-Jul-18,2235.05,2230,2260.55,2202.25,2239.1,2240.35,2241.25,774325,1735457208,30766,142040,18.34
124,DRREDDY,EQ,03-Jul-18,2240.35,2258,2284,2235.2,2274.4,2273.75,2262.7,756573,1711898157,36271,114554,15.14
125,DRREDDY,EQ,04-Jul-18,2273.75,2273.8,2338,2273.8,2318.2,2317.25,2318.58,1065535,2470527239,70806,322017,30.22
126,DRREDDY,EQ,05-Jul-18,2317.25,2329.95,2348.7,2287.75,2298.65,2298.65,2327.19,830939,1933756076,47922,349033,42
127,DRREDDY,EQ,06-Jul-18,2298.65,2300,2319.9,2255.85,2267,2269.05,2292.58,556218,1275175415,29072,140878,25.33
128,DRREDDY,EQ,09-Jul-18,2269.05,2282,2335,2281.95,2330.1,2330.05,2322.63,729897,1695277035,36279,143997,19.73
129,DRREDDY,EQ,10-Jul-18,2330.05,2345.6,2345.6,2303,2318.95,2321.85,2320.07,665940,1545030581,52577,255876,38.42
130,DRREDDY,EQ,11-Jul-18,2321.85,2301,2333,2275,2298,2301.35,2305.11,820067,1890341622,42881,266896,32.55
131,DRREDDY,EQ,12-Jul-18,2301.35,2326.7,2387.65,2326.65,2352.3,2357.25,2368.21,1312367,3107964292,60065,381205,29.05
132,DRREDDY,EQ,13-Jul-18,2357.25,2340,2366.4,2301,2315,2319.85,2328.24,466927,1087118157,22212,135326,28.98
133,DRREDDY,EQ,16-Jul-18,2319.85,2223.1,2223.1,2069.95,2083,2093.95,2113.1,3721516,7863930504,172401,899440,24.17
134,DRREDDY,EQ,17-Jul-18,2093.95,2060,2119,2057.05,2070,2065.3,2084.63,1422184,2964722652,64512,263912,18.56
135,DRREDDY,EQ,18-Jul-18,2065.3,2080,2096.55,2040.5,2060,2065.65,2062.27,1219549,2515038438,57688,360682,29.58
136,DRREDDY,EQ,19-Jul-18,2065.65,2077.8,2077.8,2025,2027.2,2029.2,2048.66,762721,1562559079,39195,276904,36.3
137,DRREDDY,EQ,20-Jul-18,2029.2,2026,2073,2020,2058.6,2051.9,2056.31,755783,1554125805,44760,252445,33.4
138,DRREDDY,EQ,23-Jul-18,2051.9,2073,2073,2032.5,2043,2041.7,2047.25,587029,1201793651,19798,228360,38.9
139,DRREDDY,EQ,24-Jul-18,2041.7,2043,2090,2043,2077.6,2077.6,2070.65,1289377,2669852333,31725,707455,54.87
140,DRREDDY,EQ,25-Jul-18,2077.6,2087,2097.5,2061.55,2086.9,2088.2,2082.8,538614,1121826115,21947,152926,28.39
141,DRREDDY,EQ,26-Jul-18,2088.2,2075.7,2191,2074.9,2110,2132.75,2128.16,1913049,4071268494,82326,440169,23.01
142,DRREDDY,EQ,27-Jul-18,2132.75,2135,2135,2067.4,2082.5,2083.2,2089.34,896318,1872709346,44546,220683,24.62
143,DRREDDY,EQ,30-Jul-18,2083.2,2080.05,2092.85,2058.3,2066.95,2067.2,2070.98,807995,1673345278,31267,341146,42.22
144,DRREDDY,EQ,31-Jul-18,2067.2,2075,2135,2070.6,2130,2127.8,2108.13,1464380,3087097066,68985,634179,43.31
145,DRREDDY,EQ,01-Aug-18,2127.8,2130,2182,2130,2175,2175.7,2161.62,912903,1973353042,49353,330964,36.25
146,DRREDDY,EQ,02-Aug-18,2175.7,2175,2237.95,2170,2227,2227.85,2218.3,1039641,2306238664,50969,230980,22.22
147,DRREDDY,EQ,03-Aug-18,2227.85,2236,2290,2230,2276.95,2281.05,2270.61,1013107,2300369621,43078,358100,35.35
148,DRREDDY,EQ,06-Aug-18,2281.05,2285,2325,2228.2,2238.7,2234.4,2265.2,835775,1893199198,30048,198562,23.76
149,DRREDDY,EQ,07-Aug-18,2234.4,2249.9,2281.45,2245.05,2261.5,2258.8,2260.12,499910,1129858573,27944,97678,19.54
