N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
225,LUPIN,EQ,04-Dec-19,786.05,782,793.15,775,791,791.9,784.15,1552634,1217497430,38591,383086,24.67
226,LUPIN,EQ,05-Dec-19,791.9,790,791.65,778.05,779,779.65,782.93,829792,649672723.4,15108,264020,31.82
227,LUPIN,EQ,06-Dec-19,779.65,783,786,759,759,761.85,770.75,1137044,876380399.8,21946,439069,38.61
228,LUPIN,EQ,09-Dec-19,761.85,762.4,764.95,753,758,755.95,758.49,1084786,822799306.2,26821,406647,37.49
229,LUPIN,EQ,10-Dec-19,755.95,758.15,759.4,747.3,750.45,752.8,753.11,1178653,887652714,32641,480155,40.74
230,LUPIN,EQ,11-Dec-19,752.8,750.45,755,737.25,744.9,744.2,745.62,1029223,767410282.4,28909,419331,40.74
231,LUPIN,EQ,12-Dec-19,744.2,748.5,751.95,741.25,750,748.75,747.08,778792,581821529.4,20786,212549,27.29
232,LUPIN,EQ,13-Dec-19,748.75,753.55,758.5,748.15,754.95,756.25,753.29,662206,498834187.5,16700,178651,26.98
233,LUPIN,EQ,16-Dec-19,756.25,753.5,761.85,745.8,749,747.45,753.04,907081,683071471.1,17058,274606,30.27
234,LUPIN,EQ,17-Dec-19,747.45,749.6,756.55,745.75,755.05,754.35,751.14,1328747,998080825.6,46020,645131,48.55
235,LUPIN,EQ,18-Dec-19,754.35,755.5,767.9,753.8,766.8,766.35,763.29,1247090,951893793.7,21733,224843,18.03
236,LUPIN,EQ,19-Dec-19,766.35,767,774.95,762.05,773,770.6,770.81,1447972,1116106133,20247,199490,13.78
237,LUPIN,EQ,20-Dec-19,770.6,775,778,767.1,768.95,770.95,772.85,1141306,882055536.6,20435,398440,34.91
238,LUPIN,EQ,23-Dec-19,770.95,768.95,777.3,756.7,770,767.7,766.95,799611,613259902.4,16587,218430,27.32
239,LUPIN,EQ,24-Dec-19,767.7,770,770.9,762.65,765.1,765.15,766.59,425524,326200815.4,11056,68066,16
240,LUPIN,EQ,26-Dec-19,765.15,767,771,755.05,756.9,757.5,762.82,549975,419532278.9,10727,81628,14.84
241,LUPIN,EQ,27-Dec-19,757.5,759.7,772.95,758.7,770.5,770.95,767.05,543702,417047025.2,13646,193094,35.51
242,LUPIN,EQ,30-Dec-19,770.95,770,774.75,766,767.6,769.9,768.9,650533,500191991.5,13421,247867,38.1
243,LUPIN,EQ,31-Dec-19,769.9,766.5,773.9,760.35,765,763.45,769.87,842865,648895329,12921,361735,42.92
244,LUPIN,EQ,01-Jan-20,763.45,765.3,773.25,765.3,771.8,771.15,769.67,465429,358226680.5,14055,45743,9.83
0,LUPIN,EQ,02-Jan-20,771.15,773,780.35,764.2,776,775.6,773.28,867603,670902926.6,16310,122187,14.08
1,LUPIN,EQ,03-Jan-20,775.6,775.9,786.5,770,775.25,776.9,779.42,1110452,865508942.4,21769,199755,17.99
2,LUPIN,EQ,06-Jan-20,776.9,771,774.45,756,762.25,762.15,765.83,522118,399854393.3,13145,94611,18.12
3,LUPIN,EQ,07-Jan-20,762.15,764,772.6,752.55,759.5,757.55,760.7,824059,626862853.3,22493,191874,23.28
4,LUPIN,EQ,08-Jan-20,757.55,752,760.65,750.1,757,757.1,755.5,641773,484860278.7,14015,200390,31.22
5,LUPIN,EQ,09-Jan-20,757.1,762,767.3,757.1,758,758.9,760.94,778130,592112255.2,10139,427431,54.93
6,LUPIN,EQ,10-Jan-20,758.9,763.15,778.5,757.5,760,758.95,768.03,1820102,1397893369,35163,509903,28.02
7,LUPIN,EQ,13-Jan-20,758.95,756.5,763,740.5,749,748.6,748.09,2327854,1741436266,50105,654662,28.12
8,LUPIN,EQ,14-Jan-20,748.6,752.7,758.9,750.45,752,752.8,754.6,1213631,915805509,21672,497814,41.02
9,LUPIN,EQ,15-Jan-20,752.8,752,756.8,746.7,754,751.05,751.63,1220738,917544715.5,30478,532337,43.61
10,LUPIN,EQ,16-Jan-20,751.05,751.5,760.65,751.5,754.7,753.95,756.26,1284812,971646584.2,26745,374086,29.12
11,LUPIN,EQ,17-Jan-20,753.95,753,770,751.45,766.35,766.65,761.51,1336060,1017422063,24831,349851,26.19
12,LUPIN,EQ,20-Jan-20,766.65,760,760.25,730.1,733.35,732.7,740.37,3214043,2379582799,65436,989910,30.8
13,LUPIN,EQ,21-Jan-20,732.7,733,744.25,727.25,739.8,741.15,737.52,1619921,1194720389,35460,423597,26.15
14,LUPIN,EQ,22-Jan-20,741.15,743.25,746.95,734.65,739.85,738.4,738.82,904533,668288253.5,28786,301329,33.31
15,LUPIN,EQ,23-Jan-20,738.4,738.4,743.95,736,737.9,737.85,738.93,718365,530821275.6,16938,257355,35.83
16,LUPIN,EQ,24-Jan-20,737.85,737.3,744.5,735.7,739,740.15,741.07,507047,375758094,13797,135940,26.81
17,LUPIN,EQ,27-Jan-20,740.15,738,759.9,734.1,751.1,751.9,751.46,1492976,1121918503,27291,546742,36.62
18,LUPIN,EQ,28-Jan-20,751.9,755,756.7,745.1,745.45,747.4,752.15,1322275,994548015.3,37386,430645,32.57
19,LUPIN,EQ,29-Jan-20,747.4,750,752.75,743.55,744.3,744.85,747.73,867074,648340484.4,29470,451650,52.09
20,LUPIN,EQ,30-Jan-20,744.85,745.9,745.9,725.55,728.2,728.35,732.94,1153471,845426756.4,24236,540094,46.82
21,LUPIN,EQ,31-Jan-20,728.35,734,734.7,716,718.3,718.25,724.01,1117946,809402027.7,29448,418320,37.42
22,LUPIN,EQ,01-Feb-20,718.25,718.25,724.5,701.25,707,708.35,713.36,716939,511436006.9,15286,179611,25.05
23,LUPIN,EQ,03-Feb-20,708.35,708.35,723.25,698.8,708.85,708.65,712.23,1106940,788398925.6,22573,383119,34.61
24,LUPIN,EQ,04-Feb-20,708.65,717.65,728.85,711,720.8,721.6,722.13,1129876,815912139.4,26223,407818,36.09
25,LUPIN,EQ,05-Feb-20,721.6,721.1,726.85,716.5,723.7,722.5,722.54,1189761,859644216.4,43057,672501,56.52
26,LUPIN,EQ,06-Feb-20,722.5,731.5,738.75,706,728,721.9,725.58,5687405,4126655382,100984,1925927,33.86
27,LUPIN,EQ,07-Feb-20,721.9,708,714.25,695,705.8,707.6,702.67,7357814,5170146747,117498,2385309,32.42
28,LUPIN,EQ,10-Feb-20,707.6,705.95,710,696.3,701,701.95,701.1,1841499,1291077898,41637,1033731,56.14
29,LUPIN,EQ,11-Feb-20,701.95,713.8,713.8,698.55,704.25,705.05,704.21,1862531,1311612644,31906,1037556,55.71
30,LUPIN,EQ,12-Feb-20,705.05,708,712,698.5,703.5,703.2,703.77,2266491,1595085862,36789,1520479,67.09
31,LUPIN,EQ,13-Feb-20,703.2,706.4,708.6,699.55,703,703.4,702.64,2356429,1655729900,20524,1612474,68.43
